text	label
I made a cash deposit to my account but i don't see it	balance_not_updated_after_cheque_or_cash_deposit
I deposited some money, but the balance has not changed.	balance_not_updated_after_cheque_or_cash_deposit
I need to cancel a transaction on my debit card.	direct_debit_payment_not_recognised
I Submitted a cheque couple of days ago, nothing happened to my account yet.What could be the possible issue?	balance_not_updated_after_cheque_or_cash_deposit
Some cash was missing at ATM.	wrong_amount_of_cash_received
I didn't get all the cash I asked for	wrong_amount_of_cash_received
There was an extra charge when I used my card	card_payment_fee_charged
What is the extra fee that showed up on my card?	card_payment_fee_charged
A couple weeks ago there was a debit taken from my account from a transaction I don't recall. Is it possible to trace this transaction to make sure I'm not being scammed?	direct_debit_payment_not_recognised
I deposited cash into my account, why do I not see it?	balance_not_updated_after_cheque_or_cash_deposit
I don't understand why I'm being charged for using my card.	card_payment_fee_charged
What do I do if I got the wrong amount at the ATM?	wrong_amount_of_cash_received
Could I raise a dispute for a large payment that i found out was not done by me in my couple of last statements? I am aware its delayed now. Please help me out.	direct_debit_payment_not_recognised
How can I check how much free spending I have left? I have some big purchases coming up and want to know where I can look for any info.	card_payment_fee_charged
What's going on with my balance? Shouldn't it be a bit higher since I deposited a cheque a day ago?	balance_not_updated_after_cheque_or_cash_deposit
Why am I charged a fee when using my debit or credit card?	card_payment_fee_charged
A few weeks ago, a strange transaction was made on my account by a seller I don't know. I am quite sure I didn't do it and will like for you to check it for me.	direct_debit_payment_not_recognised
What is this extra fee?	card_payment_fee_charged
I deposited a check yesterday and Im not seeing it in my account. i need the money, is there something wrong with my account? check it out please	balance_not_updated_after_cheque_or_cash_deposit
I need to dispute a direct debit.	direct_debit_payment_not_recognised
My account was charged a debit payment I don't recognize.	direct_debit_payment_not_recognised
The cash I wanted wasn't there.	wrong_amount_of_cash_received
I paid with a card and there is an extra charge. Why?	card_payment_fee_charged
I received the wrong amount of cash from the ATM. Can you help?	wrong_amount_of_cash_received
I put some money in my account the other day and it's not gone in yet, can you help with this?	balance_not_updated_after_cheque_or_cash_deposit
I placed a cheque but the funds aren't there	balance_not_updated_after_cheque_or_cash_deposit
Why am I seeing a direct debit thats not mine?	direct_debit_payment_not_recognised
I saw money was taken out of my account by a seller a while back. I do not recognize the seller, but I'm pretty certain I didn't make that payment. Can you track who the seller is?	direct_debit_payment_not_recognised
Did a WD earlier at an ATM.  The amount showing in the App is more than I got though.	wrong_amount_of_cash_received
I tried updating my balance by cheque yesterday but it doesn't seem to be working. Shouldn't that be faster? Please check my account something has gone wrong there.	balance_not_updated_after_cheque_or_cash_deposit
There was some money taken from my account that I don't remember paying for. Am I able to look up this transaction which was a few weeks ago to see who took out the money? Im not sure I need a refund just want to check to make sure it's legit.	direct_debit_payment_not_recognised
Where'd the rest of my cash go from the ATM	wrong_amount_of_cash_received
I'm going on holiday to France for 6 weeks with my family and the cat, Fluffy.  I just purchased €10,000 from a currency exchange to ensure we don't run short but there appears to be a fee.  What is this for?	card_payment_fee_charged
In my app, a direct debit payment that I didn't do shows up.	direct_debit_payment_not_recognised
How long do cheques take to post to your account?	balance_not_updated_after_cheque_or_cash_deposit
Why did I only receive a partial amount of what I tried to withdraw?	wrong_amount_of_cash_received
Why was there an additional fee on the payment I just made? I don't usually have additional fees applied to my payments.	card_payment_fee_charged
I was not able to receive the correct amount of cash.	wrong_amount_of_cash_received
Hi, I draw out some money from the ATM today. The ATM has given me wrong amount and the application is displaying more amount than i withdraw.	wrong_amount_of_cash_received
my cash balance less than what I thought	wrong_amount_of_cash_received
I am angry that I got charged for using my card.	card_payment_fee_charged
Why am I being charged a hidden fee?	card_payment_fee_charged
why did i only get 20.00	wrong_amount_of_cash_received
What is the extra fee that was added when I used the card?	card_payment_fee_charged
How do I get a refund for an unauthorized direct debit payment?	direct_debit_payment_not_recognised
Why are you charging me fees for using my card?	card_payment_fee_charged
I did a cash deposit to my account but my balance is still the same. What happened?	balance_not_updated_after_cheque_or_cash_deposit
My cash deposit hasn't posted to my account.	balance_not_updated_after_cheque_or_cash_deposit
i would like to dispute a direct debit payment	direct_debit_payment_not_recognised
A direct debit payment that I didn't authorise shows up in my app.	direct_debit_payment_not_recognised
I did not get all the cash at ATM.	wrong_amount_of_cash_received
What do I do about a debit on my account that I didn't make?	direct_debit_payment_not_recognised
Hi, Please help me to request cash back. As i have been withdrawn money from ATM, but i got wrong amount. in Application its showing the amount i have been charged through.	wrong_amount_of_cash_received
My statement shows a strange direct debit.	direct_debit_payment_not_recognised
There is a payment in my app that I did not make.  I have not used that card all day  Please reimburse my money.	direct_debit_payment_not_recognised
